"고려","高麗"
"고려하다","考慮-"
"고르다","뽑다"
"고르다","차이가 없다"
"고맙다",""
"고모","姑母"
"고모부","姑母夫"
"고무신",""
"고민","苦悶"
"고민하다","苦悶-"
"고생","苦生"
"고생하다","苦生-"
"고소하다","맛이 ~"
"고속","高速"
"고속도로","高速道路"
"고속버스","高速bus"
"고양이",""
"고요하다",""
"고작",""
"고장","지역"
"고장","故障"
"고전","古典"
"고집","固執"
"고집하다","固執-"
"고추",""
"고추장","-醬"
"고춧가루",""
"고치다",""
"고통","苦痛"
"고통스럽다","苦痛-"
"고프다",""
"고함","高喊"
"고향","故鄕"
"곡","曲"
"곡식","穀食"
"곤란하다","困難-"
"곧",""
"곧다",""
"곧바로",""
"곧이어",""
"곧잘",""
"곧장",""
"골","goal"
"골고루",""
"골목",""
"골목길",""
"골짜기",""
"골치",""
"골프","golf"
"골프장","golf場"
"곰","동물"
"곱다","아름답다"
"곳",""
"곳곳",""
"공","축구~"
"공간","空間"
"공개","公開"
"공개하다","公開-"
"공격","攻擊"
"공격하다","攻擊-"
"공공","公共"
"공군","空軍"
"공급","供給"
"공기","空氣"
"공기","空器"
"공동","共同"
"공무원","公務員"
"공부","工夫"
"공부하다","工夫-"
"공사","工事"
"공식","公式"
"공식적","公式的"
"공업","工業"
"공연","公演"
"공연되다","公演-"
"공연장","公演場"
"공연하다","公演-"
"공연히","空然-"
"공원","公園"
"공장","工場"
"공주","公主"
"공중","空中"
"공중전화","公衆電話"
"공짜","空-"
"공책","空冊"
"공통","共通"
"공통되다","共通-"
"공통적","共通的"
"공통점","共通點"
"공포","恐怖"
"공항","空港"
"공항버스","空港bus"
"공해","公害"
"공휴일","公休日"
"과","科"
"과","課"
"과거","科擧"
"과거","過去"
"과목","科目"
"과연","果然"
"과외","課外"
"과일",""
"과자","菓子"
"과장","課長"
"과정","過程"
"과정","課程"
"과제","課題"
"과학","科學"
"과학자","科學者"
"과학적","科學的"
"관객","觀客"
"관계","關係"
"관계되다","關係-"
"관계없이","關係-"
"관계자","關係者"
"관광","觀光"
"관광객","觀光客"
"관광버스","觀光bus"
"관광지","觀光地"
"관념","觀念"
"관람","觀覽"
"관람객","觀覽客"
"관련","關聯"
"관련되다","關聯-"
"관련하다","關聯-"
"관리","官吏"
"관리","管理"
"관리하다","管理-"
"관습","慣習"
"관심","關心"
"관심사","關心事"
"관점","觀點"
"관찰","觀察"
"관찰하다","觀察-"
"관하다","關-"
"광경","光景"
"광고","廣告"
"광장","廣場"
"광주","光州"
"괜찮다",""
"괜히",""
"괴로움",""
"괴로워하다",""
"괴롭다",""
"괴롭히다",""
"굉장하다","宏壯-"
"굉장히","宏壯-"
"교과서","敎科書"
"교내","校內"
"교대","交代"
"교류","交流"
"교문","校門"
"교복","校服"
"교사","敎師"
"교수","敎授"
"교시","校時"
"교실","敎室"
"교양","敎養"
"교외","郊外"
"교육","敎育"
"교육비","敎育費"
"교육자","敎育者"
"교장","校長"
"교재","敎材"
"교직","敎職"
"교체","交替"
"교통","交通"
"교통사고","交通事故"
"교포","僑胞"
"교환","交換"
"교환하다","交換-"
"교회","敎會"
"교훈","敎訓"
"구","九"
"구","區"
"구경",""
"구경하다",""
"구두",""
"구르다","바위가 ~"
"구름",""
"구멍",""
"구별","區別"
"구별되다","區別-"
"구별하다","區別-"
"구분","區分"
"구분되다","區分-"
"구분하다","區分-"
"구석",""
"구석구석",""
"구성","構成"
"구성되다","構成-"
"구성하다","構成-"
"구속","拘束"
"구속되다","拘束-"
"구속하다","拘束-"
"구십","九十"
"구역","區域"
"구월","九月"
"구입","購入"
"구입하다","購入-"
"구조","構造"
"구청","區廳"
"구체적","具體的"
"구하다","求-"
"구하다","救-"
"국","음식"
"국가","國家"
"국가적","國家的"
"국기","國旗"
"국내","國內"
"국내선","國內線"
"국내외","國內外"
"국립","國立"
"국물",""
"국민","國民"
"국민적","國民的"
"국사","國史"
"국산","國産"
"국수",""
"국어","國語"
"국왕","國王"
"국적","國籍"
"국제","國際"
"국제선","國際線"
"국제적","國際的"
"국제화","國際化"
"국회","國會"
"국회의원","國會議員"
"군","君"
"군","軍"
"군","郡"
"군대","軍隊"
"군데",""
"군사","軍士"
"군사","軍事"
"군인","軍人"
"굳다",""
"굳어지다",""
"굳이",""
"굳히다",""
"굵다",""
"굶다",""
"굽다","익히다"
"굽히다",""
"궁극적","窮極的"
"궁금하다",""
"권","卷"
"권리","權利"
"권위","權威"
"권투","拳鬪"
"권하다","勸-"
"귀",""
"귀가","歸家"
"귀가하다","歸家-"
"귀국","歸國"
"귀국하다","歸國-"
"귀신","鬼神"
"귀엽다",""
"귀중하다","貴重-"
"귀찮다",""
"귀하다","貴-"
"귓속",""
"규모","規模"
"규정","規定"
"규칙","規則"
"규칙적","規則的"
"균형","均衡"
"귤","橘"
"그",""
"그",""
"그",""
"그간","-間"
"그거",""
"그것",""
"그곳",""
"그나마",""
"그날",""
"그냥",""
"그녀","-女"
"그놈",""
"그늘",""
"그다음",""
"그다지",""
"그대",""
"그대로",""
"그동안",""
"그때",""
"그때그때",""
"그래",""
"그래","그리하여"
"그래도","그리하여도"
"그래서",""
"그래서","그리하여서"
"그래야","그리하여야"
"그래픽","graphic"
"그램","gram"
"그러나",""
"그러니까",""
"그러다",""
"그러면",""
"그러므로",""
"그러하다",""
"그런",""
"그런대로",""
"그런데",""
"그럴듯하다",""
"그럼","그러면'의 준말"
"그럼",""
"그렇게","그러하게"
"그렇다",""
"그렇지",""
"그렇지만",""
"그려지다",""
"그루",""
"그룹","group"
"그릇",""
"그리","그러한 모양"
"그리고",""
"그리다","그림을 ~"
"그리로",""
"그리움",""
"그리워하다",""
"그리하여",""
"그림",""
"그림자",""
"그립다",""
"그만","그 정도까지만"
"그만두다",""
"그만큼",""
"그만하다",""
"그분",""
"그사이",""
"그야말로",""
"그이",""
"그저",""
"그저께",""
"그전","-前"
"그제서야",""
"그제야",""
"그중","-中"
"그쪽",""
"그치다",""
"그토록",""
"그해",""
"극","劇"
"극복","克服"
"극복하다","克服-"
"극작가","劇作家"
"극장","劇場"
"극히","極-"
"근거","根據"
"근거하다","根據-"
"근교","近郊"
"근데","그런데"
"근래","近來"
"근로","勤勞"
"근로자","勤勞者"
"근무","勤務"
"근무하다","勤務-"
"근본","根本"
"근본적","根本的"
"근원","根源"
"근육","筋肉"
"근처","近處"
"글",""
"글쎄",""
"글쎄요",""
"글쓰기",""
"글씨",""
"글자","-字"
"긁다",""
"금","~을 긋다"
"금","金"
"금강산","金剛山"
"금고","金庫"
"금년","今年"
"금메달","金medal"
"금방","今方"
"금세",""
"금액","金額"
"금연","禁煙"
"금요일","金曜日"
"금지","禁止"
"금지되다","禁止-"
"금지하다","禁止-"
"금하다","禁-"
"급","級"
"급격히","急激-"
"급속히","急速-"
"급증하다","急增-"
"급하다","急-"
"급히","急-"
"긋다","금을 ~"
"긍정적","肯定的"
"기","氣"
"기","旗"
"기간","期間"
"기계","機械"
"기관","機關"
"기구","器具"
"기구","機構"
"기기","機器"
"기념","記念"
"기념일","記念日"
"기념품","記念品"
"기념하다","記念-"
"기능","技能"
"기능","機能"
"기다",""
"기다리다",""
"기대","期待"
"기대다","의지하다"
"기대되다","期待-"
"기대하다","期待-"
"기도","祈禱"
"기도하다","祈禱-"
"기독교","基督敎"
"기둥",""
"기록","記錄"
"기록되다","記錄-"
"기록하다","記錄-"
"기르다",""
"기름",""
"기막히다","氣-"
"기법","技法"
"기본","基本"
"기본적","基本的"
"기분","氣分"
"기뻐하다",""
"기쁘다",""
"기쁨",""
"기사","技士"
"기사","記事"
"기성","旣成"
"기성세대","旣成世代"
"기숙사","寄宿舍"
"기술","技術"
"기술자","技術者"
"기술하다","記述-"
"기억","記憶"
"기억나다","記憶-"
"기억되다","記憶-"
"기억하다","記憶-"
"기업","企業"
"기업인","企業人"
"기여","寄與"
"기여하다","寄與-"
"기온","氣溫"
"기운",""
"기울다",""
"기울이다",""
"기원","起源"
"기원전","紀元前"
"기자","記者"
"기적","奇跡"
"기준","基準"
"기차","汽車"
"기초","基礎"
"기초적","基礎的"
"기초하다","基礎-"
"기침",""
"기타","其他"
"기타","guitar"
"기호","記號"
"기혼","旣婚"
"기회","機會"
"기획","企劃"
"기후","氣候"
